id,type,attack_id,attack_name,attack_description
attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,['enterprise-attack'],['T1055.011'],Extra Window Memory Injection,adversaries may inject malicious code into process via extra window memory  ewm  in order to evade process based defenses as well as possibly elevate privileges  ewm injection is a method of executing arbitrary code in the address space of a separate live process    before creating a window  graphical windows based processes must prescribe to or register a windows class  which stipulate appearance and behavior  via windows procedures  which are functions that handle input output of data _ citation  microsoft window classes  registration of new windows classes can include a request for up to    bytes of ewm to be appended to the allocated memory of each instance of that class  this ewm is intended to store data specific to that window and has specific application programming interface  api  functions to set and get its value   citation  microsoft getwindowlong function   citation  microsoft setwindowlong function   although small  the ewm is large enough to store a    bit pointer and is often used to point to a windows procedure  malware may possibly utilize this memory location in part of an attack chain that includes writing code to shared sections of the process s memory  placing a pointer to the code in ewm  then invoking execution by returning execution control to the address in the process s ewm_  execution granted through ewm injection may allow access to both the target process's memory and possibly elevated privileges  writing payloads to shared sections also avoids the use of highly monitored api calls such as writeprocessmemory and createremotethread_ citation  elastic process injection july       more sophisticated malware samples may also potentially bypass protection mechanisms such as data execution prevention  dep  by triggering a combination of windows procedures and other system functions that will rewrite the malicious payload inside an executable portion of the target process    citation  malwaretech power loader aug        citation  welivesecurity gapz and redyms mar        running code in the context of another process may allow access to the process's memory  system network resources  and possibly elevated privileges  execution via ewm injection may also evade detection from security products since the execution is masked under a legitimate process 
attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,['enterprise-attack'],['T1053.005'],Scheduled Task,adversaries may abuse the windows task scheduler to perform task scheduling for initial or recurring execution of malicious code  there are multiple ways to access the task scheduler in windows  the  utility can be run directly on the command line  or the task scheduler can be opened through the gui within the administrator tools section of the control panel  in some cases  adversaries have used a _net wrapper for the windows task scheduler  and alternatively  adversaries have used the windows netapi   library to create a scheduled task_  the deprecated  utility could also be abused by adversaries  ex   though at_exe can not access tasks created with schtasks or the control panel_  an adversary may use windows task scheduler to execute programs at system startup or on a scheduled basis for persistence  the windows task scheduler can also be abused to conduct remote execution as part of lateral movement and or to run a process under the context of a specified account  such as system   similar to  system binary proxy  adversaries have also abused the windows task scheduler to potentially mask one time execution under signed trusted system processes_ citation  proofpoint serpent   adversaries may also create  hidden  scheduled tasks  i_e   hide  that may not be visible to defender tools and manual queries used to enumerate tasks  specifically  an adversary may hide a task from  schtasks  query  and the task scheduler by deleting the associated security descriptor  sd  registry value  where deletion of this value must be completed using system permissions _ citation  tarrask scheduled task  adversaries may also employ alternate methods to hide tasks  such as altering the metadata  e_g_   index  value  within associated registry keys_ citation  defending against scheduled task attacks in windows environments 
attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,['enterprise-attack'],['T1205.002'],Socket Filters,adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control  with elevated permissions  adversaries can use features such as the  libpcap  library to open sockets and install filters to allow or disallow certain types of data to come through the socket  the filter may apply to all traffic passing through the specified network interface  or every interface if not specified   when the network interface receives a packet matching the filter criteria  additional actions can be triggered on the host  such as activation of a reverse shell_  to establish a connection  an adversary sends a crafted packet to the targeted host that matches the installed filter criteria_ citation  haking  libpcap network sniffing  adversaries have used these socket filters to trigger the installation of implants  conduct ping backs  and to invoke command shells  communication with these socket filters may also be used in conjunction with  protocol  exatrack bpf filters passive backdoors  citation  leonardo turla penquin may        filters can be installed on any unix like platform with  libpcap  installed or on windows hosts using  winpcap    adversaries may use either  libpcap  with  pcap_setfilter  or the standard library function  setsockopt  with  so_attach_filter  options  since the socket connection is not active until the packet is received  this behavior may be difficult to detect due to the lack of activity on a host  low cpu overhead  and limited visibility into raw socket usage 
attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,['enterprise-attack'],['T1066'],Indicator Removal from Tools,if a malicious tool is detected and quarantined or otherwise curtailed  an adversary may be able to determine why the malicious tool was detected  the indicator   modify the tool by removing the indicator  and use the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems_  a good example of this is when malware is detected with a file signature and quarantined by anti virus software  an adversary who can determine that the malware was quarantined because of its file signature may use  software  or otherwise modify the file so it has a different signature  and then re use the malware 
attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,['enterprise-attack'],['T1560.001'],Archive via Utility,adversaries may use utilities to compress and or encrypt collected data prior to exfiltration  many utilities include functionalities to compress  encrypt  or otherwise package data into a format that is easier more secure to transport_  adversaries may abuse various utilities to compress or encrypt data before exfiltration  some third party utilities may be preinstalled  such as tar on linux and macos or zip on windows systems  on windows  diantz or  makecab may be used to package collected files into a cabinet  _cab  file  diantz may also be used to download and compress files from remote locations  i_e   remote data  additionally  xcopy on windows can copy files and directories with a variety of options_  adversaries may use also third party utilities  such as   zip  winrar  and winzip  to perform similar activities_ citation   zip homepage  citation  winrar homepage  citation  winzip homepage 
attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,['enterprise-attack'],['T1021.005'],VNC,adversaries may use  valid  to remotely control machines using virtual network computing  vnc    vnc is a platform independent desktop sharing system that uses the rfb   remote framebuffer   protocol to enable users to remotely control another computer s display by relaying the screen  mouse  and keyboard inputs over the network_ citation  the remote framebuffer protocol   vnc differs from  remote desktop  as vnc is screen sharing software rather than resource sharing software  by default  vnc uses the system's authentication  but it can be configured to use credentials specific to vnc_ citation  macos vnc software for remote desktop  citation  vnc authentication   adversaries may abuse vnc to perform malicious actions as the logged on user such as opening documents  downloading files  and running arbitrary commands  an adversary could use vnc to remotely control and monitor a system to collect data and information to pivot to other systems within the network  specific vnc libraries implementations have also been susceptible to brute force attacks and memory usage exploitation_ citation  hijacking vnc  citation  macos root vnc login without authentication  citation  vnc vulnerabilities  citation  offensive security vnc authentication check  citation  attacking vnc servers pentestlab  citation  havana authentication bug 
attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,['enterprise-attack'],['T1047'],Windows Management Instrumentation,adversaries may abuse windows management instrumentation  wmi  to execute malicious commands and payloads  wmi is an administration feature that provides a uniform environment to access windows system components  the wmi service enables both local and remote access  though the latter is facilitated by  remote  such as  distributed component object   dcom  and  windows remote   winrm _ citation  msdn wmi  remote wmi over dcom operates using port      whereas wmi over winrm operates over port      when using http and      for https_ citation  msdn wmi  citation  fireeye wmi        an adversary can use wmi to interact with local and remote systems and use it as a means to execute various behaviors  such as gathering information for discovery as well as remote execution of files as part of lateral movement   citation  fireeye wmi sans        citation  fireeye wmi      
attack-pattern--01df3350-ce05-4bdf-bdf8-0a919a66d4a8,['enterprise-attack'],['T1156'],Malicious Shell Modification,adversaries may establish persistence through executing malicious commands triggered by a user s shell  user shells execute several configuration scripts at different points throughout the session based on events  for example  when a user opens a command line interface or remotely logs in  such as ssh  a login shell is initiated  the login shell executes scripts from the system   etc  and the user s home directory      to configure the environment  all login shells on a system use  etc profile when initiated  these configuration scripts run at the permission level of their directory and are often used to set environment variables  create aliases  and customize the user s environment  when the shell exits or terminates  additional shell scripts are executed to ensure the shell exits appropriately    adversaries may attempt to establish persistence by inserting commands into scripts automatically executed by shells  using bash as an example  the default shell for most gnu linux systems  adversaries may add commands that launch malicious binaries into the  etc profile and  etc profile_d files   these files require root permissions and are executed each time any shell on a system launches  for user level permissions  adversaries can insert malicious commands into   _bash_profile    _bash_login  or   _profile  rocke  which are sourced when a user opens a command line interface or connects remotely  adversaries often use   _bash_profile since the system only executes the first file that exists in the listed order  adversaries have also leveraged the   _bashrc file  tsunami  rocke  linux rabbit  magento  which is additionally executed if the connection is established remotely or an additional interactive shell is opened  such as a new tab in the command line interface  some malware targets the termination of a program to trigger execution  cannon   adversaries can use the   _bash_logout file to execute malicious commands at the end of a session pearl_shellbot     for macos  the functionality of this technique is similar but leverages zsh  the default shell for macos   _     when the terminal_app is opened  the application launches a zsh login shell and a zsh interactive shell  the login shell configures the system environment using  etc profile   etc zshenv   etc zprofile  and  etc zlogin  the login shell then configures the user environment with   _zprofile and   _zlogin  the interactive shell uses the   _zshrc to configure the user environment  upon exiting   etc zlogout and   _zlogout are executed  for legacy programs  macos executes  etc bashrc on startup 
attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,['enterprise-attack'],['T1113'],Screen Capture,adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation  screen capturing functionality may be included as a feature of a remote access tool used in post compromise operations  taking a screenshot is also typically possible through native utilities or api calls  such as copyfromscreen  xwd  or screencapture_ citation  copyfromscreen _net  citation  antiquated mac malware 
attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,['enterprise-attack'],['T1067'],Bootkit,a bootkit is a malware variant that modifies the boot sectors of a hard drive  including the master boot record  mbr  and volume boot record  vbr    citation  mtrends        adversaries may use bootkits to persist on systems at a layer below the operating system  which may make it difficult to perform full remediation unless an organization suspects one was used and can act accordingly_      master boot record the mbr is the section of disk that is first loaded after completing hardware initialization by the bios  it is the location of the boot loader  an adversary who has raw access to the boot drive may overwrite this area  diverting execution during startup from the normal boot loader to adversary code   citation  lau            volume boot record the mbr passes control of the boot process to the vbr  similar to the case of mbr  an adversary who has raw access to the boot drive may overwrite the vbr to divert execution during startup to adversary code 
