id,type,attack_id,attack_name,attack_description
attack-pattern--00290ac5-551e-44aa-bbd8-c4b913488a6d,['mobile-attack'],['T1603'],Scheduled Task/Job,adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code  on android and ios  apis and libraries exist to facilitate scheduling tasks to execute at a specified date  time  or interval_  on android  the  workmanager  api allows asynchronous tasks to be scheduled with the system   workmanager  was introduced to unify task scheduling on android  using  jobscheduler    gcmnetworkmanager   and  alarmmanager  internally   workmanager  offers a lot of flexibility for scheduling  including periodically  one time  or constraint based  e_g  only when the device is charging _ citation  android workmanager   on ios  the  nsbackgroundactivityscheduler  api allows asynchronous tasks to be scheduled with the system  the tasks can be scheduled to be repeating or non repeating  however  the system chooses when the tasks will be executed  the app can choose the interval for repeating tasks  or the delay between scheduling and execution for one time tasks_ citation  apple nsbackgroundactivityscheduler 
attack-pattern--039bc59c-ecc7-4997-b2b4-4ab728bd91aa,['mobile-attack'],['T1540'],Code Injection,adversaries may use code injection attacks to implant arbitrary code into the address space of a running application  code is then executed or interpreted by that application  adversaries utilizing this technique may exploit capabilities to load code in at runtime through dynamic libraries_  with root access   ptrace  can be used to target specific applications and load shared libraries into its process memory_ citation  shunix code injection mar       citation  fadeev code injection aug       by injecting code  an adversary may be able to gain access to higher permissions held by the targeted application by executing as the targeted application  in addition  the adversary may be able to evade detection or enable persistent access to a system under the guise of the application s process_ citation  google triada june      
attack-pattern--08e22979-d320-48ed-8711-e7bf94aabb13,['mobile-attack'],"['T1638', 'CEL-3', 'APP-0', 'APP-1', 'APP-8', 'ECO-12']",Adversary-in-the-Middle,adversaries may attempt to position themselves between two or more networked devices to support follow on behaviors such as  transmitted data  or  endpoint denial of         can be achieved through several mechanisms  such as a malicious application registering itself as a vpn client  by doing this  the adversary can effectively redirect device traffic to wherever they want  however  registering as a vpn client requires user consent on both android and ios  additionally  on ios  the application requires a special entitlement that must be granted by apple  alternatively  if an application is able to escalate privileges  it can potentially utilize those privileges to gain access to network traffic        outside of a mobile device  adversaries may be able to capture traffic by employing a rogue base station or wi fi access point  these devices will allow adversaries to capture network traffic after it has left the device  while it is flowing to its destination  on a local network  enterprise techniques could be used  such as dns redirection or dns poisoning        if applications properly encrypt their network traffic  sensitive data may not be accessible an adversary  depending on the point of capture 
attack-pattern--08ea902d-ecb5-47ed-a453-2798057bb2d3,['mobile-attack'],"['T1626', 'APP-22']",Abuse Elevation Control Mechanism,adversaries may circumvent mechanisms designed to control elevated privileges to gain higher level permissions  most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can gain on a machine  authorization has to be granted to specific users in order to perform tasks that are designated as higher risk  an adversary can use several methods to take advantage of built in control mechanisms in order to escalate privileges on a system 
attack-pattern--0bcc4ec1-a897-49a9-a9ff-c00df1d1209d,['mobile-attack'],['T1454'],Malicious SMS Message,test
attack-pattern--0c71033e-401e-4b97-9309-7a7c95e43a5d,['mobile-attack'],"['T1470', 'ECO-0', 'ECO-1']",Obtain Device Cloud Backups,an adversary who is able to obtain unauthorized access to or misuse authorized access to cloud backup services  e_g  google's android backup service or apple's icloud  could use that access to obtain sensitive data stored in device backups  for example  the elcomsoft phone breaker product advertises the ability to retrieve ios backup data from apple's icloud   elcomsoft also describes  obtaining whatsapp communication histories from backups stored in icloud 
attack-pattern--0cdd66ad-26ac-4338-a764-4972a1e17ee3,['mobile-attack'],"['T1630.001', 'APP-43']",Uninstall Malicious Application,adversaries may include functionality in malware that uninstalls the malicious application from the device  this can be achieved by       abusing device owner permissions to perform silent uninstallation using device owner api calls     abusing root permissions to delete files from the filesystem     abusing the accessibility service  this requires sending an intent to the system to request uninstallation  and then abusing the accessibility service to click the proper places on the screen to confirm uninstallation 
attack-pattern--0d4e3bbb-7af5-4c88-a215-0c0906bc1e8d,['mobile-attack'],"['T1630', 'APP-43']",Indicator Removal on Host,adversaries may delete  alter  or hide generated artifacts on a device  including files  jailbreak status  or the malicious application itself  these actions may interfere with event collection  reporting  or other notifications used to detect intrusion activity  this may compromise the integrity of mobile security solutions by causing notable events or information to go unreported 
attack-pattern--0d95940f-9583-4e0f-824c-a42c1be47fad,['mobile-attack'],"['T1474', 'APP-6', 'SPC-0', 'SPC-1', 'SPC-2', 'SPC-3', 'SPC-4', 'SPC-5', 'SPC-6', 'SPC-7', 'SPC-8', 'SPC-9', 'SPC-10', 'SPC-11', 'SPC-12', 'SPC-13', 'SPC-14', 'SPC-15', 'SPC-16', 'SPC-17', 'SPC-18', 'SPC-19', 'SPC-20', 'SPC-21']",Supply Chain Compromise,adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise_  supply chain compromise can take place at any stage of the supply chain including     manipulation of development tools   manipulation of a development environment   manipulation of source code repositories  public or private    manipulation of source code in open source dependencies   manipulation of software update distribution mechanisms   compromised infected system images   replacement of legitimate software with modified versions   sales of modified counterfeit products to legitimate distributors   shipment interdiction  while supply chain compromise can impact any component of hardware or software  attackers looking to gain execution have often focused on malicious additions to legitimate software in software distribution or update channels  targeting may be specific to a desired victim set or malicious software may be distributed to a broad set of consumers but only move on to additional tactics on specific victims   popular open source projects that are used as dependencies in many applications may also be targeted as a means to add malicious code to users of the dependency  specifically with the widespread usage of third party advertising libraries 
attack-pattern--0f4fb01b-d57a-4375-b7a2-342c9d3248f7,['mobile-attack'],"['T1430.002', 'CEL-38']",Impersonate SS7 Nodes,adversaries may exploit the lack of authentication in signaling system network nodes to track the to track the location of mobile devices by impersonating a node       by providing the victim s msisdn  phone number  and impersonating network internal nodes to query subscriber information from other nodes  adversaries may use data collected from each hop to eventually determine the device s geographical cell area or nearest cell tower 
