id,type,attack_id,attack_name,attack_description
attack-pattern--028ad431-84c5-4eb7-a364-2b797c234f88,pre-attack,['T1277'],Acquire OSINT data sets and information,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   data sets can be anything from security exchange commission  sec  filings to public phone numbers  many datasets are now either publicly available for free or can be purchased from a variety of data vendors   open source intelligence  osint  is intelligence gathered from publicly available sources  this can include both information gathered on line as well as in the physical world 
attack-pattern--03da0598-ed46-4a73-bf43-0313b3522400,pre-attack,['T1237'],"Submit KITs, KIQs, and intelligence requirements",this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   once they have been created  intelligence requirements  key intelligence topics  kits   and key intelligence questions  kiqs  are submitted into a central management system 
attack-pattern--03f4a766-7a21-4b5e-9ccf-e0cf422ab983,pre-attack,['T1332'],Acquire or compromise 3rd party signing certificates,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted  users may trust a signed piece of code more than an unsigned piece of code even if they don't know who issued the certificate or who the author is 
attack-pattern--0440f60f-9056-4791-a740-8eae96eb61fa,pre-attack,['T1386'],Authorized user performs requested cyber action,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    clicking on links in email  opening attachments  or visiting websites that result in drive by downloads can all result in compromise due to users performing actions of a cyber nature 
attack-pattern--04e93ca1-8415-4a46-8549-73b7c84f8dc3,pre-attack,['T1263'],Identify security defensive capabilities,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   security defensive capabilities are designed to stop or limit unauthorized network traffic or other types of accesses    citation  nmap waf nse 
attack-pattern--0649fc36-72a0-40a0-a2f9-3fc7e3231ad6,pre-attack,['T1356'],Test callback functionality,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   callbacks are malware communications seeking instructions  an adversary will test their malware to ensure the appropriate instructions are conveyed and the callback software can be reached 
attack-pattern--0722cd65-0c83-4c89-9502-539198467ab1,pre-attack,['T1267'],Identify job postings and needs/gaps,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   job postings  on either company sites  or in other forums  provide information on organizational structure and often provide contact information for someone within the organization  this may give an adversary  information on people within the organization which could be valuable in social engineering attempts 
attack-pattern--092f05e3-f7c0-4cd2-91be-3a8d6ed3cadc,pre-attack,['T1289'],Analyze organizational skillsets and deficiencies,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   analyze strengths and weaknesses of the target for potential areas of where to focus compromise efforts 
attack-pattern--0c0f075b-5d69-43f2-90df-d9ad18f44624,pre-attack,['T1269'],Identify people of interest,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   the attempt to identify people of interest or with an inherent weakness for direct or indirect targeting to determine an approach to compromise a person or organization   such targets may include individuals with poor opsec practices or those who have a trusted relationship with the intended target 
attack-pattern--0c592c79-29a7-4a94-81a4-c87eae3aead6,pre-attack,['T1321'],"Common, high volume protocols and software",this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   certain types of traffic  e_g_  twitter    http  are more commonly used than others  utilizing more common protocols and software may make an adversary's traffic more difficult to distinguish from legitimate traffic 
attack-pattern--0d759854-9b69-438c-8325-74b03cc80cf0,pre-attack,['T1378'],Replace legitimate binary with malware,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    replacing a legitimate binary with malware can be accomplished either by replacing a binary on a legitimate download site or standing up a fake or alternative site with the malicious binary  the intent is to have a user download and run the malicious binary thereby executing malware 
