id,name,description,detects
T1055.011,memori window inject,bite locat context output prevent createremotethread part interfac aug order section pointer window malwaretech call mechan adversari class function sophist setwindowlong attack behavior set api space defens getwindowlong payload return byte input trigger instanc point system data registr place combin malwar appear secur privileg portion use protect grant ewm share code handl procedur request juli write chain control inject writeprocessmemori microsoft network resourc execut program valu method process regist applic address power product access dep sampl base store memori detect loader target,setwindowlong juli microsoft procedur api associ techniqu trigger window call process monitor getwindowlong malwar function ewm sendnotifymessag inject
T1053.005,task schedul,descriptor environ tarrask s0111 context artifact part line persist section window queri run panel case adversari util attack basi exe mitr registri wrapper softwar task way system gui permiss recur sigmahq schtask abus librari trust manual org secur proofpoint also use serpent sign time code conduct administr account metadata command control hide execut sd program valu delet method t1564 key process movement ex t1053 tool associ techniqu index s0110 netapi32 startup access t1218 defend http proxi schedul,registri event valu cycl use delet know correl softwar task construct line instrument key log persist process patch monitor regist technet job action system32 remov system tool window svchost argument systemroot activ version taskeng adversari manag data command twitter leoloobeek chang taskschedul entri forum creation id set microsoft powershel exe store servic server r2 schedul
T1205.002,socket filter,passiv socket exatrack soattachfilt use option filter conjunct overhead backdoor usag protocol bpf penquin trigger persist interfac monitor traffic mitr setsockopt tunnel packet t1572 action pass criterion type permiss host connect techniqu window lack match activ adversari libpcap data command craft function visibl shell instal control featur librari send attack winpcap pcapsetfilt behavior http ping cpu communic network org limit platform target,polici enterpris applic run socket connect process list monitor filter accord
T1066,remov tool indic,use t1045 file virus pack softwar exampl updat mitr quarantin remov tool system techniqu version adversari indic attack http signatur malwar org target,
T1560.001,util archiv,packag cab t1074 transport locat use exfiltr file cabinet maco homepag varieti exelolba code xcopi diantz system window techniqu makecab linux activ adversari util stag data function winzip winrar copi abus attack http parti download org zip directori tar option also mitr,exfiltr prevent file construct line intrus encrypt process monitor focus extens action effort header system type associ compress argument loss activ write follow winzip data command aid winrar transit detect network zip tar
T1021.005,vnc,t1021 login mous use file input softwar rfb maco usag share protocol log desktop framebuff check comput monitor authent root vnc credenti bug document screen default action machin system keyboard user techniqu pentestlab exploit account display adversari data command inform configur abus attack relay librari vulner t1078 http implement havana forc download memori org network secur server resourc platform pivot mitr,show environ login use analysi maco exampl share log process monitor authent vnc code screen machin appl system user techniqu connect eventmessag review account activ attempt factor screensharingd access attack behavior t1078 http pattern predic org network mitr
T1047,instrument manag window,payload environ t1021 use file dcom wmi winrm instrument part movement msdn mean system window techniqu administr model adversari manag port fireey command latter access inform abus featur attack behavior discoveri http compon servic org 003 execut object mitr,construct line environ behavior connect suspect argument process monitor traffic use network command action wmi
T1156,modif shell,gnu environ rock exit line persist interfac order default run adversari termin function zlogin add configur set event leverag bash zlogout variabl exampl trigger point bashrc system user permiss open linux etc tab script zprofil malwar app insert rabbit launch use zshenv zsh tsunami profil bashlogout time code command home bashprofil binari kaiji legaci execut program session login level zshrc ssh file maco root applic techniqu connect alia attempt intez sourc startup shell pearlshellbot base bashlogin list cannon end directori magento target,
T1113,captur screen,oper screencaptur use net mac desktop copyfromscreen code screen xwd captur tool cours call attempt adversari post compromis util function access inform featur api malwar screenshot,environ oper screencaptur use output correl net file method mac desktop process monitor disk copyfromscreen give imag code screen xwd legitimaci captur system argument cours activ attempt write data command sensor inform behavior api detect malwar network event
T1067,bootkit,volum locat lau use mtrend variant act hardwar area bio load process disk boot record code section pass system suspect case adversari mbr startup initi access layer organ control vbr bootkit drive master malwar sector execut loader remedi,
T1037,initi logon script boot,privileg program use log persist boot credenti system administr account adversari function access initi inform configur send script base logon server,registri use file duti key persist process monitor boot time window user administr argument account command access initi chang script logon directori
T1557,middl adversari,le taxonomydowngradeatttl leverag session ttintrat t1562 use tl exampl protocol arp middl ssl adblockerwithmin encrypt algorithm victim traffic monitor t1498 dns order credenti cooki action intercept manipul system support user techniqu dnschangertrojan devic activ attempt adversari follow site version tlseminardowngradeatt setup denial posit data mitmtlsdowngradeatt access inform t1040 control abus attack featur behavior volexity0daysophosfw destin http communic aitm defens forc servic mitm network org llmnr push malwar flow downgrad t1565 also mitr,valu dhcp login anomali dhcpservopev polici softwar hardwar mac usag protocol construct log part process monitor traffic view nt applic associ window address well devic activ metadata manag sourc data chang chain hklm creation id set behavior microsoft daemon isol aitm servic network llmnr dword dnsclient event
T1033,owner system user discoveri,environ session use dump variabl file maco exampl log owner way process detail shape code credenti t1033 target whoami action dscl usernam system user techniqu number run account attempt adversari follow util command acquir access inform attack behavior discoveri http t1003 ownership list grep org directori mitr,subsystem name lsa line sept traffic packet credenti section default window watch call systemroot activ adversari function gt path configur attack api t1078 dumper pattern exe defens distribut servic r2 mitr registri build avoid drsr analysi know anomali softwar protocol proc authent structur help getnccchang config system syntax argument linux follow password manag compromis data stock ip script powershel communic filesystem ship secur org domain flow t1055 map s0002 adsecur modul use dump t1059 inspect correl log exist monitor replic lsass mimikatz code system32 request account devic samr command inform control copi inject featur microsoft pid lt network execut materi powersploit program login sam file method tabl key process dcsync detail dec hostil tool associ techniqu connect well attempt other alert access indic text creation http store memori detect directori server note hash
T1583,infrastructur acquir,launch oper solut use stage trendmicrohideoutsleas infrastructur varieti traffic blend help buy host web adversari leas contact implement orchestr parti cloud servic purchas provis server domain rent target,registri scan koczwara name use stage tl internet artifact softwar domain beacon ssl negoti log infrastructur face monitor whoi databas focus lifecycl help ex hunt buy listen dns dec track effort system run associ queri sep adversari jul port data command acquir aid c2 inform leas control registr featur threatconnect respons pattern provis servic detect server resourc certif rent target
T1218.011,rundll32,name norundl masquerad part line trend extens www com window examplefunctiona number dllfunction panel adversari charact function micro attack behavior set sct exe defens mitr payload avoid cpl examplefunctionw analysi vice confus exampl trigger attackifi controlrundl rundll32 syntax chang abus script runhtmlappl org secur malwar manner getobject modul use item share compat check powelik controlrundllasus monitor code dllname github write command control shell32 t1036 execut javascript evas dll oper file obscur load process click one ex examplefunct document tool support techniqu attempt t1218 http proxi export t1129,name dll use age file ower load process monitor purpos ex rundll32 header histori invoc user permiss argument dlls call content activ data command function inform origin signatur export exe medium execut
T1613,contain discoveri resourc,environ step method contain dashboard log status victim movement imag applic pod web queri deploy attempt adversari cluster inform configur docker api discoveri provid leak node cloud servic resourc execut view,dashboard contain log pod api discoveri user kubernet web infrastructur account monitor activ use applic inform action
T1583.007,,environ blackwat leverag cloudflar oper use worker t1090 infrastructur redirector traffic mitr subdomain respond lambda machin techniqu back adversari attribut function acquir command control attack http provid proxi cloud purchas org malwar server target,leverag stage softwar infrastructur focus lifecycl ex dec effort associ activ adversari function command visibl organ control behavior threatconnect place detect serverless look target
T1143,hide window,show avoid environ windowstyl tag uielement t1086 vbscript oper make carri use tray languag file mac task maco properti exampl icon jscript varieti work applic code plist appl system window user administr techniqu run awt activ case adversari alert function hide configur abus featur attack script java dock http powershel exe list sight org malwar mitr,
T1161,lcloaddylib addit,lcloaddylib mach oper use lccodesignatur maco adjust tell issu check dynam load persist seri time field header tool osx dylib adversari command chang librari depend rest signatur binari malwar execut,
T1132.001,standard,ascii base64 use wikipedia standard protocol exist traffic scheme hexadecim system compress gzip content adversari charact data command inform c2 control text unicod specif,protocol behavior client process communic monitor content follow use port network server data packet flow
T1027.009,payload,payload dtrack2 browser byte carri use modul analysi notar t1553 file impact exampl part trend psimag weav process sentinel lab sentinellab design overlay nest report default system support format techniqu github run applescript content case adversari micro comrat control hide trust attack abus t1027 script microsoft inject featur steganographi http ticket signatur securelist communic pattern defens binari medium orchestr org 003 malwar network execut t1055 mitr,construct payload header behavior name highlight signatur content amount medium data ex file posit inform size indic
T1150,modif plist,privileg program locat context file maco properti key trojan sofaci komplex persist seri detail point purpos applic plist code document procedur format permiss argument utf user mechan other adversari path inform xml librari prefer whitelist list bypass servic execut,
