id,name,description,detects
T1055.011,inject window memori,microsoft section portion procedur juli malwar byte part output applic behavior prevent code share context class call process place dep store write aug memori payload sophist return privileg resourc instanc interfac window handl pointer data trigger order setwindowlong writeprocessmemori request access loader ewm createremotethread system network use execut adversari space registr defens input locat function valu program detect getwindowlong secur combin sampl protect inject address target set appear power product control malwaretech api base chain method point grant mechan attack bite regist,ewm sendnotifymessag trigger window microsoft api inject monitor call setwindowlong associ techniqu process getwindowlong function procedur juli malwar
T1053.005,task schedul,section sigmahq util part serpent artifact trust task code environ context s0111 process proxi tool basi wrapper sd line t1218 sign delet associ schedul hide permiss window schtask run defend persist index t1564 queri manual conduct netapi32 access gui org system startup use abus recur execut adversari way account case techniqu command http valu mitr program ex also tarrask administr secur proofpoint s0110 registri descriptor control exe panel librari method key metadata movement softwar attack t1053 time,delet svchost store system registri activ manag microsoft event use id action twitter system32 schedul remov powershel technet adversari set window leoloobeek argument task command persist patch know valu data r2 systemroot chang instrument exe server correl process forum job key tool construct cycl line version taskschedul monitor creation entri softwar log taskeng servic regist
T1205.002,filter socket,type featur activ network bpf winpcap use criterion target option action permiss interfac commun adversari limit window connect soattachfilt penquin control techniqu pcapsetfilt command instal behavior persist lack function protocol http data socket trigger mitr filter craft host overhead librari t1572 visibl usag exatrack traffic passiv pass tunnel setsockopt cpu monitor platform org packet match ping send backdoor attack libpcap shell conjunct,enterpris list connect filter monitor run polici applic process socket accord
T1066,tool remov indic,t1045 exampl system updat use target malwar remov adversari viru techniqu http signatur file mitr tool quarantin indic pack version softwar org attack,
T1560.001,util archiv,cabinet makecab zip system winzip activ homepag use copi option abus xcopi linux util transport adversari window t1074 varieti exfiltr tar locat techniqu function exelolba code maco data download http stag file mitr also packag org attack directori parti cab diantz winrar,type winzip zip write aid focu compress activ network loss system associ action argument effort exfiltr tar command prevent encrypt intrus data extens file header process transit construct line follow monitor detect winrar
T1021.005,vnc,havana comput system framebuff network memori use t1021 inform abus resourc machin action desktop t1078 pivot adversari implement account rfb configur techniqu vulner input command user protocol http document download data maco pentestlab file relay mitr server share default librari authent usag display vnc exploit keyboard bug mous login platform monitor check softwar org attack screen log forc root secur credenti,factor exampl system activ network eventmessag use predic machin attempt analysi t1078 connect account techniqu screensharingd user behavior pattern code maco http environ mitr share authent process show vnc appl access login monitor review org attack log screen
T1047,window instrument manag,featur system manag payload t1021 use inform abus compon winrm port execut part msdn fireey adversari window techniqu command behavior model object wmi http environ instrument 003 file mitr discoveri dcom mean administr access latter movement org attack servic,connect line argument network monitor use suspect construct process command action traffic behavior wmi environ
T1156,modif shell,magento session bash binari legaci bashprofil zshrc malwar termin applic zsh code environ leverag default rock intez line zlogin sourc cannon end event zshenv linux permiss interfac connect ssh level run etc persist launch maco trigger profil order variabl list system startup use rabbit insert execut adversari configur techniqu command open function script add zprofil file tsunami program app login exit tab root home directori shell exampl kaiji bashlogout target attempt set bashrc gnu user alia pearlshellbot base zlogout point bashlogin time,
T1113,captur screen,featur oper xwd use inform attempt malwar util desktop adversari compromis mac screencaptur function code copyfromscreen net api call captur tool screenshot access cours screen post,oper system write event activ network xwd use inform attempt malwar desktop give disk argument command output behavior screencaptur mac code data environ copyfromscreen net file api correl method process captur sensor legitimaci cours imag monitor detect screen
T1067,bootkit,system master section load variant startup use remedi malwar execut mtrend adversari disk lau bio record control initi locat case suspect code volum organ process drive pass vbr boot hardwar access loader act bootkit sector layer mbr area,
T1037,logon boot script initi,system use inform privileg adversari account configur initi persist function logon script server base program boot administr access log send credenti,registri use window argument account initi duti command persist user logon script chang file process key boot administr access monitor directori time
T1557,adversari middl,downgrad flow featur manipul llmnr system exampl activ network adblockerwithmin session volexity0daysophosfw t1565 t1562 use inform dn taxonomydowngradeatttl abus action denial attempt malwar commun adversari arp tlseminardowngradeatt mitmtlsdowngradeatt aitm victim ssl t1040 mitm control techniqu push defens behavior user intercept algorithm encrypt protocol http data ttintrat tl leverag mitr order support also cooki t1498 traffic dnschangertrojan le setup destin site access version devic follow monitor org attack posit forc servic credenti middl,llmnr event microsoft manag network activ dnsclient associ address id part set window aitm well mac applic behavior protocol valu dhcp data chang anomali dword chain polici nt usag process traffic view construct metadata dhcpservopev devic login monitor creation softwar log daemon isol hklm servic hardwar sourc
T1033,discoveri user system owner,session dump detail exampl system whoami list use inform target shape action t1003 attempt owner util adversari acquir way account techniqu run command behavior user grep number http code maco environ file mitr process discoveri dscl variabl usernam access ownership follow org attack directori log t1033 credenti,microsoft section gt s0002 adsecur powersploit stock code server default correl call tabl process note tool other line indic replic servic flow store memori proc associ inform system32 linux powershel t1078 alert window connect pattern protocol know data lsa t1055 t1059 systemroot anomali sept config samr request dcsync syntax access devic monitor dumper pid log org copi hostil hash dump featur system activ network use text avoid execut commun adversari drsr argument account password configur techniqu inspect command defens compromis function subsystem http script r2 ip file mitr program sam domain traffic watch getnccchang distribut modul help name login filesystem creation path dec detect packet secur directori credenti detail manag registri inject materi attempt exist analysi build lsass well control ship map lt exe api mimikatz authent method key follow softwar attack structur
T1583,acquir infrastructur,blend rent oper web solut use target orchestr trendmicrohideoutsleas leas adversari stage implement varieti launch contact provis infrastructur server host domain traffic cloud purchas help buy parti servic,listen featur ssl system focu registri aid databas hunt use associ target respons dn resourc inform port whoi threatconnect koczwara leas stage adversari lifecycl acquir artifact effort control run registr command sep pattern scan queri data negoti tl provis infrastructur server domain ex certif jul track help buy name monitor softwar dec c2 detect log internet rent beacon servic face
T1218.011,rundll32,micro malwar part export behavior code share t1129 process item proxi tool line t1218 compat oper write payload manner window github trigger rundll32 support examplefunct norundl vice syntax one monitor t1036 org load charact use powelik abus controlrundl avoid execut getobject adversari evas trend runhtmlappl obscur techniqu command defens function http script document dllfunction number extens file mitr confus com ex modul name examplefunctiona javascript secur exampl attempt analysi click set dllname control controlrundllasus examplefunctionw sct chang cpl exe panel dll www check attack shell32 attackifi masquerad,activ load use inform age execut permiss export purpos content argument command user function data signatur ower medium file header exe rundll32 call ex process histori dll name monitor invoc origin
T1613,discoveri resourc contain,node web deploy contain inform step resourc docker attempt execut adversari victim provid configur applic dashboard queri pod environ cluster api method discoveri view statu cloud imag movement log servic leak,kubernet activ infrastructur api web account monitor contain use inform applic action log discoveri user dashboard pod
T1583.007,,oper back use target machin malwar subdomain adversari acquir provid lambda control techniqu command function respond http environ t1090 attribut leverag infrastructur mitr server redirector cloudflar traffic proxi cloud purchas blackwat worker org attack,activ focu associ target threatconnect stage adversari lifecycl effort control serverless command behavior function leverag infrastructur organ ex visibl look place softwar dec detect
T1143,window hide,featur oper exampl system activ list carri windowstyl use abus avoid t1086 awt malwar powershel hide alert adversari uielement window varieti case techniqu configur task applic mac user run function icon tag http script environ code maco tray file mitr exe make properti vbscript show plist appl sight languag administr jscript org attack java work dock,
T1161,addit lcloaddylib,oper load binari use rest malwar execut adversari command persist osx maco field signatur chang header adjust depend librari lcloaddylib tool issu dynam dylib check tell lccodesignatur seri mach time,
T1132.001,standard,system charact compress use inform text wikipedia exist adversari content gzip control command base64 protocol data hexadecim scheme traffic specif ascii c2 unicod standard,commun content flow client network server follow monitor use process behavior packet port protocol data
T1027.009,payload,impact applescript exampl microsoft system design binari inject psimag dtrack2 micro network payload carri overlay use abus orchestr malwar execut byte nest part hide analysi commun adversari content comrat trend trust case control techniqu defens notar run sentinellab pattern t1553 http script github signatur t1055 003 medium file mitr default support process weav securelist featur modul report steganographi sentinel ticket lab browser t1027 org attack format,content medium file size indic name header payload inform ex behavior highlight posit construct data amount signatur
T1150,modif plist,list detail komplex inform privileg procedur sofaci execut permiss purpos adversari argument utf locat applic user persist document maco code file xml program context librari format prefer point key properti plist other trojan mechan whitelist path seri servic bypass,
T1556.003,modul authent,store system inform text abus compon resourc hat pam adversari guid passwd account configur password etc user patch code valu pamunix file harvest librari authent modul suppli appl plain shadow access modif man exchang backdoor servic credenti,session exampl system aid busi auditd activ use inform machin admin vpn pam build account configur etc behavior user logon chang file share correl ex process integr tool modul access ownership path monitor login log secur hour servic time
T1578.004,revert cloud instanc,type activ manag aw machin attempt remov instanc stop revert adversari presenc provid techniqu dashboard tech data environ republ chang evid infrastructur base api storag vm cloud snapshot variat detect,type oper system activ event manag rollback addit use action procedur instanc plan provid configur persist tag chang header support storag vm identifi cloud one modif monitor review snapshot log deactiv
T1148,histcontrol,respect exampl system histcontrol use linux exist set adversari configur space ignoredup command user code maco environ leav trace ignorespac file keep default also histori bashhistori cover start log track,
T1592,inform host victim,opportun detail design websit system t1595 databas use inform target search action resourc t1195 adversari content set t1594 capabl victim way scanbox t1596 varieti configur techniqu compromis t1588 t1133 function regard scan t1587 http data ip t1598 medium mitr reconnaiss chain host visitor domain ex t1593 form suppli languag site name access org attack servic collect,design activ focu use inform associ target threatconnect stage content adversari lifecycl scanbox effort defend pattern occurr infrastructur organ scanner host visitor visibl rate look place access dec detect internet
T1596.003,certif,opportun ssl t1595 web use inform search target resourc sslshopper author threat commun adversari content capabl victim artifact trust techniqu locat t1588 t1133 encrypt scan t1587 http data t1598 tl medium harvest reconnaiss mitr organ relationship order ex traffic certif tool issu form cert name access actor lookup origin org attack t1199 ca servic sign regist sourc,
T1056.001,,opportun type dump session system registri focu network blog legaci use t1056 t1003 buffer hook keystrok adversari custom window t1601 acquir way effort driver techniqu input intercept user function cisco http data period callback mitr api method process captur adventur hardwar access modif imag devic login log attack org time credenti,write activ registri keylog inform keystrok disk window driver instal valu data chang setwindowshook file api call process key adventur getkeyst indic modif monitor getasynckeyst kernel
T1222.002,file modif mac directori linux permiss,hybrid list flow binari use step action owner linux analysi execut permiss adversari set chown implement configur control techniqu command taint acl june user nuanc persist code http maco chang attribut t1574 file mitr base mode chmod icacls2 tool group other access modif t1546 icacls1 platform org directori attack shell,hybrid list system event activ attempt analysi util permiss alert build argument configur control techniqu command acl june code maco chang attribut file folder knowledg correl chmod process rate icacls2 tool indic access modif ownership icacls1 monitor directori audit
