id,name,description,detects
T1055.011,injection window memory,value byte malwaretech execution control class writeprocessmemory protection malware security attack section space target privilege store prevention call sophisticate defense injection write power api ewm interface point function order mechanism registration payload pointer location procedure code base process loader bite program sample chain microsoft access use handle instance trigger share network aug createremotethread getwindowlong part set adversary address context system behavior portion output product return memory register detection application place appearance grant data resource method dep combination request input setwindowlong window july,associate injection monitor july process setwindowlong malware sendnotifymessage technique api getwindowlong ewm window procedure microsoft function call trigger
T1053.005,task schedule,value execution trust command basis conduct manual control t1053 mitre abuse startup netapi32 permission security serpent account attack way section sigmahq persistence key associate environment s0111 library t1564 query sd proofpoint also tool movement code gui schedule wrapper process time utility program use access proxy deletion case http administrator part adversary technique metadata context system org schtasks run recur panel ex s0110 method hide t1218 sign exe task line index artifact tarrask scheduler descriptor software registry window defender,management cycle value deletion command event powershell leoloobeek id r2 register know remove activity taskscheduler data version system32 argument tool microsoft creation technet svchost set systemroot patch entry persistence adversary monitor exe twitter task line change schedule log forum key service system scheduler job software process action server registry window store use construct taskeng instrumentation correlate
T1205.002,socket filter,protocol filter library packet network command instal org exatrack socket http winpcap setsockopt cpu installation control communication interface mitre feature penquin connection function soattachfilter activity pcapsetfilter permission data pass shell bpf limit attack overhead match craft ping lack t1572 backdoor option monitor persistence adversary platform passive technique activation target tunnel visibility send criterion behavior host action usage conjunction type window use traffic libpcap trigger,accordance policy filter enterprise monitor process socket run application list connection
T1066,tool indicator removal,signature t1045 org http remove mitre malware quarantine version tool attack adversary pack update technique file virus example target system software indicator use,
T1560.001,utility archive,diantz cabinet org download homepage http exelolbas mitre winzip abuse activity data zip stag copy xcopy also attack variety makecab tar winrar option adversary party exfiltration cab directory technique location transport file linux code functionality package system utility window use t1074 macos,write network command focus detection winzip effort activity data zip header argument aid tar intrusion winrar monitor exfiltration file compression line transit encrypt follow loss associate system extension process action type construct prevention
T1021.005,vnc,protocol computer bug library share check framebuffer network t1078 org authentication document download http command information force mouse memory keyboard mitre default abuse vulnerability pivot data root security vnc account resource user havana attack credential implementation monitor platform adversary screen technique file pentestlab relay desktop rfb log system input software machine action usage login server configure display use exploitation macos t1021,analysis eventmessage share network t1078 org screensharingd authentication access http mitre connection activity predicate review show vnc account user attack monitor screen apple technique pattern example code log system factor behavior process machine login attempt environment use macos
T1047,management instrumentation window,management component execution command org http information mitre feature use abuse msdn wmi port dcom administration attack part movement payload object model fireeye adversary technique file 003 mean latter service system behavior environment discovery window access winrm instrumentation t1021,wmi monitor behavior network process command action environment argument line use construct traffic suspect connection
T1156,shell modification,binary source execution command app event alias default startup permission malware zshrc zlogin level add persistence zlogout target bashprofile environment gnu end legacy zprofile bashlogout point interface pearlshellbot order shell tab exit code linux base script rabbit functionality login time program use rocke trigger leverage launch zshenv ssh bashlogin insert list bashrc home set configuration adversary termination directory technique file system session open magento variable application run connection zsh root user cannon kaiji etc line example intezer attempt bash tsunami macos configure profile,
T1113,capture screen,access information api feature post capture net malware tool operation adversary course screen mac code desktop copyfromscreen functionality screencapture attempt screenshot utility xwd use compromise call,write give network command event information detection api capture activity net data malware disk argument method legitimacy monitor operation course screen mac file sensor code desktop image copyfromscreen system behavior screencapture process attempt environment xwd output use correlate
T1067,bootkit,master vbr execution bios case area access control startup volume sector variant pass malware disk initialization boot act remediation suspect load section adversary location mtrends organization hardware bootkit code drive record system layer loader process use mbr lau bootkits,
T1037,initialization logon script boot,information function use administrator initialization account boot credential configuration persistence adversary base script log logon send system privilege server program access,duty command use initialization account boot argument user administration monitor persistence directory file change script key logon process time registry window access
T1557,middle adversary,push protocol site leverage defense dns ssl middle t1562 network org destination access http information force arp control communication setup mitre feature support downgrade abuse llmnr activity cooky order denial data ttintrat malware flow version victim volexity0daysophosfw taxonomydowngradeatttls user tlseminardowngradeatt also attack encryption t1040 credential mitmtlsdowngradeatt le monitor adversary adblockerwithminer technique example follow mitm manipulation aitm algorithm service position system behavior session action attempt dnschangertrojans t1565 tl use device traffic t1498 intercept,management protocol value source network view event dhcpservopevents daemon id nt dword application llmnr activity dhcp policy data logins isolation part creation dnsclient set anomaly hklm monitor mac well hardware construct change metadata address aitm log service associate behavior software process usage window chain microsoft device traffic
T1033,user system owner discovery,command org access http variable information whoami mitre run owner dump number shape account username t1033 user list attack way credential acquire ownership adversary t1003 directory technique file grep detail example follow code target log system dscl behavior usernames process session action attempt environment utility discovery use macos,protocol help packet execution command t1078 alert information communication default mitre ship dump activity others copy security account samr module correlation hostile attack creation section exist material note stock hash build follow syntax controller key associate sam path mimikatz store device traffic compromise call defense injection subsystem filesystem r2 api inspection adsecurity drsr system32 argument tool systemroot manager pattern text config code linux script functionality table process login server program microsoft use dec access t1059 analysis name network authentication http dumper ip s0002 flow anomaly adversary powersploit well technique directory file gt detail log service system map distribution lsa getnccchanges indicator proc structure org memory powershell detection know pid feature connection watch data sept method credential lsass monitor t1055 password exe line request dcsync software avoid replication attempt registry lt window domain configure
T1583,acquire infrastructure,purchase orchestrate blend lease help launch solution infrastructure cloud variety contact implementation trendmicrohideoutslease operation adversary party web rent target service host server buy stage use traffic domain provision,certificate lease help ssl name dns command track face focus c2 information detection control effort run feature threatconnect ex query response data port whois scan listen database infrastructure resource negotiation sep aid acquire registration monitor jul adversary pattern rent hunt target artifact log service associate system software koczwara dec server internet registry buy stage lifecycle tl use domain beacon provision
T1218.011,rundll32,execution dllname document command t1129 control micro mitre support abuse confusion click malware security module attack load syntax evasion character defense write github function tool www payload operation shell32 item code script trend getobject process sct masquerade examplefunctionw use proxy obscurity examplefunctiona trigger analysis share name runhtmlapplication http number controlrundllasuser part norundll set adversary vice cpl technique file attackify com extension behavior compatibility rundll32 t1036 one check org dllfunction manner export controlrundll ex panel poweliks examplefunction t1218 javascript monitor exe line example change avoid dll attempt window,purpose call name execution signature command information invocation function ower activity export history ex data medium permission header argument user load monitor exe file age content origin process dll use dlls rundll32
T1613,container discovery resource,cluster container execution view information api application pod query step deployment docker resource victim method status cloud movement configuration adversary web leak dashboard image log service provider node attempt environment discovery,activity kubernetes monitor application container web action information discovery api account dashboard use infrastructure user pod log
T1583.007,,blackwater purchase leverage cloudflare attribute command org http control mitre function respond t1090 malware redirector infrastructure cloud attack acquire operation adversary technique subdomains target back provider machine server environment worker use proxy traffic lambda,leverage command focus detection control effort function threatconnect place activity ex infrastructure serverless adversary organization target visibility associate behavior software look stage lifecycle dec
T1143,hide window,sight java carry case org alert powershell http icon uielement application mitre feature run tray use administrator activity abuse language windowstyle t1086 make show malware work user hide list attack variety plist vbscript configuration operation adversary exe mac technique task file apple example code script awt tag functionality system property dock avoid environment window jscript macos,
T1161,addition lcloaddylib,binary mach library series check execution signature command lccodesignature issue field rest malware header tool dylibs load adjustment operation adversary persistence lcloaddylib change dependency tell osx time dynamic use macos,
T1132.001,standard,protocol command hexadecimal c2 information control base64 gzip data standard wikipedia adversary exist scheme compression text ascii content system character unicode specification use traffic,use protocol client monitor behavior data network process server flow packet port communication follow content
T1027.009,payload,binary analysis defense carry byte applescripts injection trust execution signature case org network comrat http control github micro mitre format psimage run feature communication use abuse securelist support report medium malware weave module browser hide microsoft attack part orchestrator lab default payload notarization adversary t1027 t1055 steganography technique file pattern example nest script content overlay sentinellabs trend system impact t1553 ticket dtrack2 process design sentinel 003 executables,payload ex name behavior data signature medium positive file indicator information header construct amount highlight content size
T1150,plist modification,purpose komplex trojan library series document information format application point permission others utf argument user list mechanism plist persistence adversary location file whitelisting detail procedure code xml context key service property preference bypass privilege path plists program sofacy macos executables,
