id,name,description,detects
T1055.011,mem window inject,behavy context shar advers appear program request cal us target getwindowlong july privileg defens combin ewm ord byt return output port protect control sec funct set chain inst sampl malw malwaretech soph grant load execut spac inject cod ap plac class setwindowlong bit stor valu prev handl window address interfac dat apply welivesec access reg input network microsoft dep pow writ mech resourc createremotethread point mem detect proc part produc bas method system run sect trig payload process attack loc,trig assocy cal ap inject window monit proc process microsoft techn sendnotifymess getwindowlong july setwindowlong funct malw
T1053.005,task schedule,"t1564 mov context rec advers gui util techn startup program assocy us ex s0110 query deprec account metadat t1218 mit persist task lin way describ panel index control sec command scheduler org http defend conduc proxy execut cod wrap trust also serp libr .( )), man valu schedule window access softw reg tool s0111 schtasks sd artifact net t1053 hid tarrask sigmahq netapi32 cas delet admin tim part sign bas method environ abus system run sect permit process attack",tasksched id know microsoft entry key instru twit for cyc task lin persist patch advers job delet cre chang vert command scheduler man serv correl act set stor valu schedule system32 window monit technet us system etc systemroot dat r2 powershel argu reg softw process ev log leoloobeek tool
T1205.002,socket filt,feat connect backdo behavy network ping mit platform protocol persist advers lack opt winpcap penquin exatrack cpu haking9 filt control libr techn command turl org craft funct overhead commun act instal window monit pass us shel interfac match tunnel http crit typ target inst socket bpf setsockopt dat packet permit vis trig conduc libpcap conjunct t1572 soattachfilt attack host limit send leonardo traff,connect crowdstrik accord filt process monit .( list policy run bpf socket enterpr apply
T1066,ind remov tool,"t1045 pack mit ind advers vert vir techn remov org fil sign ), http us system target quarantin malw softw upd exampl attack tool",
T1560.001,arch util,party stag pack cod mit exfilt t1074 advers opt transport tar homep util techn zip cabinet org fil funct act direct cop window http us abus cab system download exelolba winr dat vary attack loc,encrypt network exfilt compress loss writ lin intrud tar detect head effort command zip foc fil act transit prev assocy monit aid system typ construct winr extend dat argu winzip process follow
T1021.005,vnc,screen mous pivot offend mit network havan shar framebuff cred protocol resourc advers forc inform config mem bug t1078 desktop libr .( techn root command sec keyboard org fil serv )( act check login docu monit us platform abus system download exploit machin comput display dat pentestlab t1021 default softw input auth relay account attack log vnc vuln impl,"screen connect show cod behavy mit network shar pattern maco :""'</ pred t1078 analys review attempt techn org appl act screensharingd login environ monit us eventmess system fact machin access auth process exampl account attack log vnc"
T1047,instru window man,feat execut object behavy mit mov instru advers inform 003 discovery port compon admin techn command org man serv fil part lat window environ dcom abus us http system mean t1021 model access wmi payload attack remot fireey,connect argu wmi behavy network environ monit process us suspect command lin act traff
T1156,mod shel,leg lev cannon advers bashrc rabbit bashprofil bash root techn startup direct exit login program us shel level target insert intez ev list </ persist lin ord zsh ssh linux command >~/. funct hom set launch etc malw exampl tab profil ad zprofile sess execut cod ap tsunam script also config bashlogin attempt end fil magento zlogout bashlogout interfac zlogin gnu apply zshenv termin kaij alia connect rock maco point tim bas sourc environ system run permit trig default vary,
T1113,screen capt,screen feat cod ap net mac advers inform screencapture copyfromscreen capt desktop attempt util comprom cours funct op cal xwd screenshot ant us post malw access tool,screen cod behavy ap net network mac writ inform screencapture copyfromscreen output capt detect desktop im attempt command cours fil correl method act op xwd ant monit environ us legitim system disk dat malw argu process ev giv sens
T1067,bootkit,execut boot vbr record cod hardw advers mbr cas bio mast control suspect org bootkit init act startup pass us lay system lau disk malw sect are access process load vary driv volum loc remedy,
T1037,logon boot init script,boot cred script persist advers inform config admin serv funct bas init program us system privileg access log account logon send,boot key script persist duty chang admin command tim fil init direct window monit us argu access reg process account logon
T1557,advers middl,feat posit t1565 behavy network mit tl encrypt ssl t1562 lev cred protocol le advers support ord forc inform vert downgrad den control attempt techn org serv flow commun act aitm t1498 algorithm dev interceiv setup monit http us abus system manip cooky dat malw defens sess victim deprec access dns follow t1040 exampl attack sit volexity0daysophosfw destin push traff,enablemulticast id wel behavy network dhcp microsoft hardw nt mac protocol policy cre dnsclient chang serv man part anoma isol act set aitm sourc chain login valu dev assocy window monit address us llmnr daemon view apply dat softw dhcpservopevents process dword ev log metadat hklm traff
T1033,discovery system us own,dump dscl cod behavy mit cred t1033 maco advers way usernam inform discovery own shap detail attempt util techn command org fil acquir act set direct t1003 whoam environ http us system grep target run access follow exampl process list account attack log numb sess,feat mimikatz oth advers inform tabl help sam techn avoid harmj0y direct getnccchang login gt assocy request cal program us ex s0002 lt inspect stock hash r2 map defens text follow log account build alert mit know protocol lin t1059 detail linux watch control sec command org samr correl funct flow path not act cop syntax dev reply system32 decrypt monit http filesystem password argu traff execut inject cod ap mat pattern dcsync cred script cre config lsa t1055 analys t1078 attempt lsass .( comprom man fil serv anoma distribut commun dec stor window systemroot dat packet powershel access softw reg mod structure look domain tool pid connect dump read network microsoft key nam ind mem ship detect proc powersploit method ip system sect default subsystem auth process drsr hostil attack adsec
T1583,infrastruct acquir,party stag buy traff advers help trendmicrohideoutsleas blend .( web serv orchest purchas contact op shut cloud us leas target infrastruct launch provid vary host domain solv impl rent,stag feat artifact negoty tl buy ssl pattern nam resourc advers fac respons inform sep track hunt help port detect control effort command foc serv internet who acquir dec jul assocy scan monit us aid leas lifecyc target ex run provid system dat beacon query c2 softw reg list log cert domain databas infrastruct rent
T1218.011,rundll32,"examplefunction item behavy shar advers examplefunctionw techn avoid t1036 us ex dll defens examplefunct t1218 mit lin support chang com panel on control masquerad sec command org funct javascrib confus syntax docu controlrundllasus monit http norundl exampl load controlrundl proxy execut t1129 compat cod script getobject obsc analys attempt click fil man window extend dllfunction sct mod tool www exampledl writ nam rundll32 shell32 charact part op abus github export "")""</ trig evas micro payload process cpl attack trend numb",execut nam inform ow dlls med rundll32 head command fil hist sign funct act cal monit us ex dll ag cont dat permit export argu origin process invoc load purpos
T1613,contain discovery resourc,execut ap mov resourc stat advers inform discovery config kubernet im attempt .( contain web serv )( method deploy dock environ cloud view provid dashboard step apply leak victim query log nod clust pod,inform kubernet ap monit us contain log account web pod dashboard infrastruct apply act discovery
