id,name,description,detects
T1055.011,memory injection window,instance write function address set mechanism call ewm procedure behavior aug byte chain method register sophisticate process malware application class execution injection memory program code portion request adversary order data share store target location sample pointer network trigger malwaretech part handle power payload context prevention loader base grant combination input resource value access microsoft dep api security product control setwindowlong bite protection place output createremotethread writeprocessmemory getwindowlong return appearance defense interface registration detection use system privilege point july section window space attack,function technique associate trigger july api monitor injection window microsoft getwindowlong malware sendnotifymessage process call ewm procedure setwindowlong
T1053.005,schedule task,basis descriptor t1053 way utility method deletion process query execution permission proofpoint artifact sigmahq http schtasks technique exe trust index program sign code recur library adversary mitre gui part movement also run sd context tool wrapper access value s0111 tarrask scheduler software manual command security defender control administrator time t1564 conduct schedule account registry hide associate metadata environment persistence case line netapi32 abuse proxy key use panel system t1218 org s0110 section window attack task startup serpent ex,activity tool id log r2 job version know value persistence exe correlate systemroot microsoft set line construct argument instrumentation scheduler action forum leoloobeek change adversary software twitter management data key store use registry command deletion remove system cycle register patch creation taskeng technet service server system32 monitor window process event task powershell schedule taskscheduler entry svchost
T1205.002,filter socket,winpcap activity socket permission bpf packet t1572 criterion installation http ping technique function persistence platform feature communication pcapsetfilter cpu option usage interface action behavior instal passive filter penquin library type setsockopt adversary mitre data host soattachfilter use command target traffic lack control tunnel visibility network conjunction libpcap org trigger craft protocol limit monitor activation connection window shell attack backdoor match pass overhead send exatrack,filter socket accordance list monitor connection process application run policy enterprise
T1066,tool removal indicator,tool quarantine version http technique signature pack indicator example adversary software mitre t1045 use remove system target virus file org malware attack update,
T1560.001,archive utility,activity functionality cabinet party directory diantz makecab http xcopy technique t1074 tar option abuse code cab exelolbas variety package adversary winzip mitre data utility stag transport use system copy file download exfiltration macos location linux org homepage window attack also winrar zip,activity effort associate write aid focus tar loss line encrypt construct header follow argument transit action type detection compression winzip data command system file intrusion exfiltration network extension monitor process winrar prevention zip
T1021.005,vnc,vnc log pivot information rfb input force root resource memory http login technique keyboard display t1078 platform credential document screen mouse usage bug abuse computer action user default pentestlab library adversary machine mitre software data exploitation share implementation use authentication system command security file framebuffer download macos vulnerability network havana relay org server configure protocol monitor check attack t1021 account desktop,activity vnc factor log http login access technique environment screensharingd t1078 screen example code behavior user machine predicate mitre attempt pattern eventmessage share use authentication system apple macos analysis network org monitor connection process attack review show account
T1047,management instrumentation window,model port execution latter wmi information fireeye dcom http administration access technique environment feature winrm 003 object msdn abuse instrumentation behavior adversary mitre management discovery mean use command system file service component org part movement window attack payload t1021,network environment argument monitor wmi connection process suspect use command line construct traffic action behavior
T1156,modification shell,functionality open home set zshrc user end attempt macos linux malware application zshenv permission execution bashrc directory root profile technique program alias code leverage adversary order pearlshellbot target file level bash trigger configure etc bashlogin run rabbit tsunami app configuration zprofile base termination tab session insert cannon add binary launch script list command magento rocke zlogin shell event time intezer zsh ssh login zlogout environment persistence line example interface default gnu variable use system bashlogout source point legacy connection kaiji bashprofile exit startup,
T1113,screen capture,tool functionality information access compromise screenshot post xwd feature screen capture call code operation adversary attempt api utility net use mac copyfromscreen malware course screencapture desktop,activity information write environment correlate xwd give screen capture argument disk code behavior operation detection attempt data api image net use command method system file mac network legitimacy monitor copyfromscreen process malware event output course sensor screencapture desktop
T1067,bootkit,master vbr execution hardware record access area remediation organization load suspect act case mtrends disk code adversary volume bootkits variant drive use system initialization bootkit location control lau bios boot section mbr malware process layer sector pass startup loader,
T1037,boot logon initialization script,log information access function persistence credential program script adversary use initialization system privilege logon server boot administrator configuration send account base,duty directory administration access persistence argument user script change key use command initialization file logon boot monitor window time process account registry
T1557,middle adversary,activity intercept dns adblockerwithminer denial ttintrat session information manipulation ssl middle destination algorithm force t1565 push downgrade http support version access technique device victim credential le taxonomydowngradeatttls t1040 feature communication follow defense example abuse action behavior position flow user leverage adversary attempt mitre data order tl encryption use system site volexity0daysophosfw traffic mitmtlsdowngradeatt control network mitm cooky org dnschangertrojans t1562 protocol tlseminardowngradeatt service aitm monitor t1498 malware llmnr attack also arp setup,activity associate view id log dword well nt metadata dhcpservopevents isolation hardware value dhcp device hklm address daemon microsoft set construct policy usage anomaly behavior change dnsclient software management data chain traffic source creation network service mac protocol part monitor aitm window event llmnr process application logins
