id,name,description,detects
T1055.011,window memory injection,redyms class loader mask function sample section use product behavior welivesecurity mechanism space handle combination code context microsoft process call resource gapz protection writeprocessmemory security instance specific control value byte share window program bite july ewm request access order malwaretech register chain execution pointer execute input well registration payload mar location network address power trigger procedure memory interface method appearance target application place output api malware system create attack store dep portion base evade createremotethread defense injection data detection privilege prevention grant part sophisticate point,function relate associate sendnotifymessage window july technique trigger ewm injection procedure getwindowlong manipulate monitor microsoft enumerate setwindowlong process call api
T1053.005,task schedule,system index create key movement attack sd metadata alter basis hide section security use line task administrator control value permission scheduler http persistence registry defend conduct recur window environment utility program schtasks technique descriptor schedule software account s0110 access tarrask tool wrapper query time t1564 method code perform case way sign context serpent run artifact panel defender deletion execution enumerate mitre adversary abuse t1218 process t1053 specify s0111 gui execute part sigmahq proofpoint trust,system forum create systemroot store job relate task system32 line value use activity leoloobeek argument id scheduler registry persistence log enable svchost service window gather r2 twitter cycle powershell taskeng schedule software construct instrumentation tool server data patch change register remove management correlate configure creation monitor deletion entry technet command set process event execute taskscheduler action version
T1205.002,socket filter,penquin attack function filter craft protocol leonardo so_attach_filter conjunction pcap_setfilter use control packet permission lack reverse activity ping host match haking9 persistence http send conduct network shell apply window criterion bpf implant platform libpcap technique trigger option receive winpcap exatrack attach overhead backdoor data activation interface library install usage action cpu sniff socket monitor pass t1572 mitre adversary tunnel command detect feature traffic type specify target communication installation connection visibility disallow turla,accordance run socket monitor enterprise create crowdstrike policy filter process application need connection list bpf
T1066,tool indicator removal,system attack indicator use http example file technique software determine tool quarantine curtail t1045 pack virus signature mitre detect target malware version,
T1560.001,utility,system package cab attack use t1074 activity copy directory http location functionality secure variety diantz window utility homepage file encrypt option technique cabinet exfiltration exe_lolbas transport xcopy data tar remote party code compress collect winrar stag adversary mitre abuse zip winzip makecab,system argument line activity transit associate loss network file encrypt exfiltration header construct intrusion extension focus data tar detection compress compression prevention winrar monitor aid detect command process type effort zip winzip action
T1021.005,vnc,system input vnc resource attack t1021 protocol bug desktop computer security use exploitation login force default http t1078 share pentestlab network framebuffer vulnerability download relay display machine file implementation check platform technique authentication account software root server information document data memory screen remote user mouse pivot havana configure monitor mitre adversary abuse command macos keyboard hijack compute action,system vnc attempt attack contain use relate login review activity http t1078 log share depend example network screensharingd eventmessage environment behavior machine factor technique authentication account pattern construct access apple screen remote code analysis show monitor mitre process macos execute connection compute predicate
T1047,instrumentation management,system wmi movement attack payload t1021 winrm sans use http service fireeye window behavior environment object technique model instrumentation access information port discovery remote component msdn whereas dcom management operate execution mitre adversary abuse command feature part execute facilitate administration,monitor wmi construct use command traffic process network behavior environment argument connection line perform action suspect
T1156,shell modification,zshenv use line persistence example zlogout technique root profile code launch session adversary event cannon level kaiji attempt zprofile directory ssh rabbit shell program file zsh order gnu execution command macos execute intezer script add login home log tab source legacy leverage trigger startup interface time linux user configuration bashrc target application exit malware connection system pearl_shellbot interactive magento end permission zlogin default functionality base environment initiate rocke termination alias terminate configure zshrc tsunami bash_profile connect terminal point,
T1113,capture,attempt course capture screencapture desktop use mac xwd operation functionality screenshot gather utility copyfromscreen access tool information antiquate code compromise net call api malware post,system attempt course capture screencapture desktop use argument disk activity mac xwd operation image network gather behavior environment file copyfromscreen information sensor data legitimacy detection method antiquate code operate monitor command process net call output execute event api malware
T1067,bootkit,system loader hardware drive malware boot volume section use lau act remediation disk control layer location organization initialization modify master overwrite bios area startup access sector mtrends bootkits persist bootkit code case operate pass mbr record execution adversary process vbr,
